store_id,products,rating
1,1,5
2,26,3
3,3,5
4,49,4
5,0,4
7,1,1
9,17,4
11,2,3
13,631,4
14,3,5
17,94,4
19,75,4
21,48,4
25,27,4
31,2,5
32,12,4
33,64,4
34,9,4
35,4,3
36,25,4
37,83,3
38,17,4
39,6,3
40,16,3
41,23,4
42,12,4
43,40,4
45,7,3
46,8,4
48,14,4
49,4,3
50,1,4
51,2,3
52,6,4
54,7,4
56,11,4
57,14,4
58,48,4
59,3,3
74,0,5
75,0,3
76,13,4
79,2,2
86,7,4
93,1,5
94,4,5
97,2,2
101,1,1
109,1,5
110,1,1
113,2,5
116,1,1
117,4,3
122,1,5
126,9,4
131,2,4
144,0,4
146,1,4
155,6,2
161,33,4
171,5,3
173,40,4
176,0,5
182,1,4
189,1,5
193,9,4
200,5,3
202,6,4
207,1,5
213,6,4
214,1,5
217,7,4
228,0,2
231,6,4
235,7,4
237,25,4
245,1,4
254,9,2
255,2,2
261,3,4
291,1,3
297,1,4
299,31,4
306,1,5
307,19,4
317,1,4
333,18,4
342,2,4
347,0,1
353,2,4
355,3,4
365,1,5
369,3,4
376,2,5
384,0,3
390,1,5
398,0,5
400,7,4
404,1,4
406,1,4
409,2,2
423,21,4
429,4,4
433,24,4
445,10,3
449,0,5
461,9,4
466,2,5
471,0,5
485,4,2
493,2,3
510,19,4
512,0,1
517,14,3
531,6,4
535,2,2
537,2,4
538,22,3
552,1,1
561,0,1
562,1,4
565,1,1
576,3,4
582,7,4
600,0,3
605,25,4
621,0,2
623,2,4
637,0,1
639,1,5
646,22,4
651,16,4
668,3,3
670,15,4
678,6,4
686,1,5
702,1,5
712,1,5
713,3,4
715,2,4
717,3,3
739,2,2
743,18,4
745,14,4
762,1,5
763,0,5
767,1,5
768,3,3
771,1,5
779,1,5
780,10,3
781,1,3
784,15,4
793,2,3
795,1,1
801,2,2
804,0,3
815,1,5
817,0,4
830,40,4
833,3,4
843,3,4
846,2,5
857,0,3
860,6,3
864,3,4
867,1,1
878,1,4
879,5,5
889,1,5
897,1,1
904,2,3
905,1,3
916,2,1
923,3,4
936,0,5
940,5,4
942,21,4
946,34,3
960,3,3
961,23,4
964,6,4
971,2,2
972,3,4
985,0,4
991,1,5
994,44,3
997,2,3
1004,4,4
1010,12,4
1011,23,4
1021,26,4
1025,2,5
1035,3,3
1036,1,5
1039,0,3
1042,13,4
1069,1,2
1070,5,4
1076,8,4
1078,2,3
1092,2,4
1107,2,4
1117,3,3
1122,0,5
1125,0,5
1128,29,4
1131,40,4
1135,7,4
1136,0,3
1140,1,5
1146,3,4
1185,0,1
1187,10,4
1192,1,1
1195,7,4
1204,1,5
1207,6,4
1212,34,4
1220,0,3
1225,1,5
1236,1,3
1240,1,3
1246,4,3
1250,8,3
1252,1,1
1255,7,3
1259,2,3
1264,4,4
1265,18,3
1269,5,2
1275,2,4
1281,5,5
1294,3,2
1296,15,1
1301,5,4
1303,2,4
1305,0,5
1317,2,3
1325,35,4
1337,3,5
1340,4,2
1343,2,4
1346,1,3
1350,1,5
1351,34,4
1358,8,4
1359,7,5
1371,5,2
1380,2,5
1381,0,4
1385,1,4
1386,1,4
1388,6,4
1391,1,4
1396,0,4
1403,67,4
1405,7,4
1407,1,1
1413,1,1
1419,19,4
1420,4,1
1422,15,4
1432,1,4
1438,3,4
1449,61,4
1466,1,5
1469,1,5
1481,1,4
1487,5,4
1495,1,5
1500,10,3
1506,1,1
1507,1,1
1510,0,4
1515,7,4
1524,6,4
1528,11,4
1536,18,3
1543,0,4
1548,6,4
