store_id,year,products,rating
1,2010,0,0
1,2011,1,5
1,2012,0,0
2,2010,10,4
2,2011,6,4
2,2012,10,2
3,2010,0,0
3,2011,1,5
3,2012,2,5
4,2010,9,5
4,2011,30,4
4,2012,10,4
5,2010,0,4
5,2011,0,4
5,2012,0,5
7,2010,0,0
7,2011,1,1
7,2012,0,0
9,2010,5,5
9,2011,7,4
9,2012,5,4
11,2010,0,0
11,2011,0,0
11,2012,2,3
13,2010,185,4
13,2011,228,4
13,2012,218,4
14,2010,0,0
14,2011,0,0
14,2012,3,5
17,2010,40,4
17,2011,38,4
17,2012,16,4
19,2010,16,4
19,2011,27,4
19,2012,32,4
21,2010,12,4
21,2011,12,4
21,2012,24,4
25,2010,7,4
25,2011,15,4
25,2012,5,4
31,2010,1,5
31,2011,1,5
31,2012,0,0
32,2010,4,4
32,2011,6,4
32,2012,2,4
33,2010,12,4
33,2011,28,4
33,2012,24,3
34,2010,2,5
34,2011,3,4
34,2012,4,3
35,2010,2,4
35,2011,1,2
35,2012,1,5
36,2010,13,4
36,2011,2,5
36,2012,10,4
37,2010,15,3
37,2011,37,3
37,2012,31,3
38,2010,0,0
38,2011,9,4
38,2012,8,4
39,2010,2,4
39,2011,4,3
39,2012,0,2
40,2010,5,4
40,2011,8,2
40,2012,3,3
41,2010,3,4
41,2011,13,4
41,2012,7,4
42,2010,0,0
42,2011,0,0
42,2012,12,4
43,2010,18,4
43,2011,16,4
43,2012,6,4
45,2010,2,3
45,2011,2,3
45,2012,3,3
46,2010,2,3
46,2011,3,4
46,2012,3,4
48,2010,2,4
48,2011,4,4
48,2012,8,4
49,2010,2,3
49,2011,2,4
49,2012,0,0
50,2010,1,5
50,2011,0,3
50,2012,0,0
51,2010,2,5
51,2011,0,1
51,2012,0,5
52,2010,1,5
52,2011,3,4
52,2012,2,5
54,2010,2,4
54,2011,3,4
54,2012,2,4
56,2010,3,5
56,2011,1,5
56,2012,7,4
57,2010,4,4
57,2011,2,5
57,2012,8,4
58,2010,15,4
58,2011,19,4
58,2012,14,4
59,2010,0,3
59,2011,3,3
59,2012,0,4
63,2010,0,0
63,2011,0,0
63,2012,0,0
74,2010,0,0
74,2011,0,5
74,2012,0,0
75,2010,0,3
75,2011,0,3
75,2012,0,3
76,2010,7,4
76,2011,5,4
76,2012,1,4
79,2010,0,2
79,2011,1,2
79,2012,1,2
80,2010,0,0
80,2011,0,0
80,2012,0,0
86,2010,2,5
86,2011,1,5
86,2012,4,4
93,2010,0,0
93,2011,0,0
93,2012,1,5
94,2010,0,5
94,2011,0,0
94,2012,4,5
97,2010,0,0
97,2011,2,2
97,2012,0,0
100,2010,0,0
100,2011,0,0
100,2012,0,0
101,2010,0,0
101,2011,1,1
101,2012,0,0
102,2010,0,0
102,2011,0,0
102,2012,0,0
109,2010,0,0
109,2011,1,5
109,2012,0,0
110,2010,0,0
110,2011,0,0
110,2012,1,1
113,2010,1,5
113,2011,1,5
113,2012,0,0
116,2010,0,0
116,2011,1,1
116,2012,0,0
117,2010,1,1
117,2011,1,5
117,2012,2,3
122,2010,0,0
122,2011,1,5
122,2012,0,0
126,2010,0,0
126,2011,0,0
126,2012,9,4
131,2010,0,0
131,2011,0,0
131,2012,2,4
136,2010,0,0
136,2011,0,0
136,2012,0,0
144,2010,0,5
144,2011,0,0
144,2012,0,3
146,2010,1,4
146,2011,0,3
146,2012,0,5
152,2010,0,0
152,2011,0,0
152,2012,0,0
155,2010,5,3
155,2011,1,1
